i,j,x,y
0,0,0.0,0.0
1,0,1.2658227848101267,0.0
2,0,2.5316455696202533,0.0
3,0,3.79746835443038,0.0
4,0,5.063291139240507,0.0
5,0,6.329113924050633,0.0
6,0,7.59493670886076,0.0
7,0,8.860759493670887,0.0
8,0,10.126582278481013,0.0
9,0,11.39240506329114,0.0
10,0,12.658227848101266,0.0
11,0,13.924050632911394,0.0
12,0,15.18987341772152,0.0
13,0,16.455696202531648,0.0
14,0,17.721518987341774,0.0
15,0,18.9873417721519,0.0
16,0,20.253164556962027,0.0
17,0,21.518987341772153,0.0
18,0,22.78481012658228,0.0
19,0,24.050632911392405,0.0
20,0,25.31645569620253,0.0
21,0,26.58227848101266,0.0
22,0,27.848101265822788,0.0
23,0,29.113924050632914,0.0
24,0,30.37974683544304,0.0
25,0,31.645569620253166,0.0
26,0,32.911392405063296,0.0
27,0,34.17721518987342,0.0
28,0,35.44303797468355,0.0
29,0,36.708860759493675,0.0
30,0,37.9746835443038,0.0
31,0,39.24050632911393,0.0
32,0,40.50632911392405,0.0
33,0,41.77215189873418,0.0
34,0,43.037974683544306,0.0
35,0,44.30379746835443,0.0
36,0,45.56962025316456,0.0
37,0,46.835443037974684,0.0
38,0,48.10126582278481,0.0
39,0,49.36708860759494,0.0
40,0,50.63291139240506,0.0
41,0,51.898734177215196,0.0
42,0,53.16455696202532,0.0
43,0,54.43037974683545,0.0
44,0,55.696202531645575,0.0
45,0,56.9620253164557,0.0
46,0,58.22784810126583,0.0
47,0,59.493670886075954,0.0
48,0,60.75949367088608,0.0
49,0,62.025316455696206,0.0
50,0,63.29113924050633,0.0
51,0,64.55696202531647,0.0
52,0,65.82278481012659,0.0
53,0,67.08860759493672,0.0
54,0,68.35443037974684,0.0
55,0,69.62025316455697,0.0
56,0,70.8860759493671,0.0
57,0,72.15189873417722,0.0
58,0,73.41772151898735,0.0
59,0,74.68354430379748,0.0
60,0,75.9493670886076,0.0
61,0,77.21518987341773,0.0
62,0,78.48101265822785,0.0
63,0,79.74683544303798,0.0
64,0,81.0126582278481,0.0
65,0,82.27848101265823,0.0
66,0,83.54430379746836,0.0
67,0,84.81012658227849,0.0
68,0,86.07594936708861,0.0
69,0,87.34177215189874,0.0
70,0,88.60759493670886,0.0
71,0,89.87341772151899,0.0
72,0,91.13924050632912,0.0
73,0,92.40506329113924,0.0
74,0,93.67088607594937,0.0
75,0,94.9367088607595,0.0
76,0,96.20253164556962,0.0
77,0,97.46835443037975,0.0
78,0,98.73417721518987,0.0
79,0,100.0,0.0
0,1,0.0,1.2658227848101267
1,1,1.2658227848101267,1.2658227848101267
2,1,2.5316455696202533,1.2658227848101267
3,1,3.79746835443038,1.2658227848101267
4,1,5.063291139240507,1.2658227848101267
5,1,6.329113924050633,1.2658227848101267
6,1,7.59493670886076,1.2658227848101267
7,1,8.860759493670887,1.2658227848101267
8,1,10.126582278481013,1.2658227848101267
9,1,11.39240506329114,1.2658227848101267
10,1,12.658227848101266,1.2658227848101267
11,1,13.924050632911394,1.2658227848101267
12,1,15.18987341772152,1.2658227848101267
13,1,16.455696202531648,1.2658227848101267
14,1,17.721518987341774,1.2658227848101267
15,1,18.9873417721519,1.2658227848101267
16,1,20.253164556962027,1.2658227848101267
17,1,21.518987341772153,1.2658227848101267
18,1,22.78481012658228,1.2658227848101267
19,1,24.050632911392405,1.2658227848101267
20,1,25.31645569620253,1.2658227848101267
21,1,26.58227848101266,1.2658227848101267
22,1,27.848101265822788,1.2658227848101267
23,1,29.113924050632914,1.2658227848101267
24,1,30.37974683544304,1.2658227848101267
25,1,31.645569620253166,1.2658227848101267
26,1,32.911392405063296,1.2658227848101267
27,1,34.17721518987342,1.2658227848101267
28,1,35.44303797468355,1.2658227848101267
29,1,36.708860759493675,1.2658227848101267
30,1,37.9746835443038,1.2658227848101267
31,1,39.24050632911393,1.2658227848101267
32,1,40.50632911392405,1.2658227848101267
33,1,41.77215189873418,1.2658227848101267
34,1,43.037974683544306,1.2658227848101267
35,1,44.30379746835443,1.2658227848101267
36,1,45.56962025316456,1.2658227848101267
37,1,46.835443037974684,1.2658227848101267
38,1,48.10126582278481,1.2658227848101267
39,1,49.36708860759494,1.2658227848101267
40,1,50.63291139240506,1.2658227848101267
41,1,51.898734177215196,1.2658227848101267
42,1,53.16455696202532,1.2658227848101267
43,1,54.43037974683545,1.2658227848101267
44,1,55.696202531645575,1.2658227848101267
45,1,56.9620253164557,1.2658227848101267
46,1,58.22784810126583,1.2658227848101267
